รายการบัญชี - Seller Balance,,,สรุป,,,,,ยอดคงเหลือ,
หน่วยเงิน:,THB,,เงินเข้า,,เงินออก,,,ยอดตั้งต้น,89163.0
วันที่:,2023-02-27-2023-03-29,,จำนวนการทำรายการ:,311,จำนวนการทำรายการ:,5,,ยอดคงเหลือสุทธิ,17170.0
,,,ยอดรวม:,701405.0,ยอดรวม:,773398.0


วันที่,ผู้นำจ่าย,จำนวนเงิน,รายการ,สถานะ,ยอดคงเหลือ
2023-03-22 20:06,Seller Balance,714.0,เงินโอนจากคำสั่งซื้อ #2303212AMXSXCX,,10133.0
2023-03-22 15:11,Seller Balance,1386.0,เงินโอนจากคำสั่งซื้อ #230318PK4PHPK8,,9419.0
2023-03-22 11:13,Seller Balance,715.0,เงินโอนจากคำสั่งซื้อ #230316K9WV2Y8V,,8033.0
2023-03-22 09:05,Seller Balance,3659.0,เงินโอนจากคำสั่งซื้อ #230315G0M53EXD,,7318.0
2023-03-22 09:05,Seller Balance,3659.0,เงินโอนจากคำสั่งซื้อ #230315G0K8E7FV,,3659.0
2023-03-22 07:22,ธนาคาร,-161275.0,การถอนเงินอัตโนมัติ,ทำรายการสำเร็จ,0.0
2023-03-21 16:18,Seller Balance,3489.0,เงินโอนจากคำสั่งซื้อ #2303116K2SCQ4V,,161275.0
2023-03-21 15:58,Seller Balance,1541.0,เงินโอนจากคำสั่งซื้อ #230317MED0VAFG,,157786.0
2023-03-21 07:50,Seller Balance,603.0,เงินโอนจากคำสั่งซื้อ #230316K34B6EY5,,156245.0
2023-03-21 02:04,Seller Balance,3121.0,เงินโอนจากคำสั่งซื้อ #230308V9SPVCGS,,155642.0
2023-03-21 01:35,Seller Balance,514.0,เงินโอนจากคำสั่งซื้อ #2303090M440DU4,,152521.0
2023-03-20 20:40,Seller Balance,1391.0,เงินโอนจากคำสั่งซื้อ #230315G90B79T8,,152007.0
2023-03-20 16:36,Seller Balance,603.0,เงินโอนจากคำสั่งซื้อ #230316K0KGVR9Q,,150616.0
2023-03-20 11:52,Seller Balance,3034.0,เงินโอนจากคำสั่งซื้อ #230315GKB4YESA,,150013.0
2023-03-20 10:20,Seller Balance,3659.0,เงินโอนจากคำสั่งซื้อ #230315G0HYF1P0,,146979.0
2023-03-20 05:42,Seller Balance,591.0,เงินโอนจากคำสั่งซื้อ #2303091X4NYJ10,,143320.0
2023-03-20 03:23,Seller Balance,1385.0,เงินโอนจากคำสั่งซื้อ #2303091H02S1FQ,,142729.0
2023-03-20 02:08,Seller Balance,603.0,เงินโอนจากคำสั่งซื้อ #2303104E5VQHMU,,141344.0
2023-03-20 01:29,Seller Balance,2159.0,เงินโอนจากคำสั่งซื้อ #230308VJ5X0PX8,,140741.0
2023-03-19 21:54,Seller Balance,2592.0,เงินโอนจากคำสั่งซื้อ #230315EX4U3KW1,,138582.0
2023-03-19 21:03,Seller Balance,1173.0,เงินโอนจากคำสั่งซื้อ #230317MVX2025F,,135990.0
2023-03-19 15:29,Seller Balance,459.0,เงินโอนจากคำสั่งซื้อ #230316JU8QB2YP,,134817.0
2023-03-19 10:56,Seller Balance,3095.0,เงินโอนจากคำสั่งซื้อ #230313AXVVPXVW,,134358.0
2023-03-19 10:39,Seller Balance,3659.0,เงินโอนจากคำสั่งซื้อ #230315G07EUK42,,131263.0
2023-03-19 03:39,Seller Balance,592.0,เงินโอนจากคำสั่งซื้อ #23030912Y5JGPY,,127604.0
2023-03-18 23:10,Seller Balance,458.0,เงินโอนจากคำสั่งซื้อ #230316KDY2A1UV,,127012.0
2023-03-18 20:43,Seller Balance,1778.0,เงินโอนจากคำสั่งซื้อ #2303127D0PBF55,,126554.0
2023-03-18 18:22,Seller Balance,2969.0,เงินโอนจากคำสั่งซื้อ #230315GCVWJEX0,,124776.0
2023-03-18 17:44,Seller Balance,604.0,เงินโอนจากคำสั่งซื้อ #230315H1M2Q0FW,,121807.0
2023-03-18 13:38,Seller Balance,606.0,เงินโอนจากคำสั่งซื้อ #230315G9TXUEH8,,121203.0
2023-03-18 12:24,Seller Balance,4263.0,เงินโอนจากคำสั่งซื้อ #230315GAVNFMQF,,120597.0
2023-03-18 12:21,Seller Balance,511.0,เงินโอนจากคำสั่งซื้อ #230316K9VVND6J,,116334.0
2023-03-18 12:19,Seller Balance,471.0,เงินโอนจากคำสั่งซื้อ #230308VN7SUTAG,,115823.0
2023-03-18 10:32,Seller Balance,2006.0,เงินโอนจากคำสั่งซื้อ #230314DAS37EPG,,115352.0
2023-03-18 10:29,Seller Balance,1017.0,เงินโอนจากคำสั่งซื้อ #230317N3SFW6W1,,113346.0
2023-03-18 09:26,Seller Balance,2791.0,เงินโอนจากคำสั่งซื้อ #230316JNVPRST1,,112329.0
